order_id,cust_id,cust_name,restaurant_name,veg_food_item,non_veg_food_item,food_quantity,transaction_mode,transaction_id,email_id,contact_number,address_type,state,postal_code,address
18,15,Janela Zecchinii,DP Cafe,Pulao,,3,COD,281406440,jzecchiniih@spotify.com,772-253-2990,8380 Leroy Park,Florida,32964,8380 Leroy Park Florida 32964
19,919,Barbie Holtaway,Deepanshu da Dhaba,panipuri,,3,online,978212196,bholtawayi@cam.ac.uk,646-116-8643,25943 Schlimgen Crossing,New York,11205,25943 Schlimgen Crossing New York 11205
20,973,Kathi Urpeth,Godavari,Paratha,,2,online,935097415,kurpethj@alibaba.com,540-668-5654,6 Prentice Drive,Virginia,24048,6 Prentice Drive Virginia 24048
21,188,Bud Merali,AR North Indian Food Corner,veg kolhapuri,,2,COD,145652723,bmeralik@narod.ru,915-539-6031,5 Union Avenue,Texas,88546,5 Union Avenue Texas 88546
22,849,Kati Tranmer,rt’s kitchen,Bhel,,5,online,742712592,ktranmerl@miibeian.gov.cn,216-963-8325,91 Jenna Plaza,Ohio,44197,91 Jenna Plaza Ohio 44197
23,566,Lissie Grayshan,Adyar Aanand Bhavan,Veg burger,Mutton Korma,4,COD,107022842,lgrayshanm@youku.com,765-440-9355,842 Milwaukee Avenue,Indiana,47306,842 Milwaukee Avenue Indiana 47306
24,104,Gris Ecob,Blind chemistry,Samosa,,5,COD,293391622,gecobn@marriott.com,561-809-9218,2700 Sheridan Court,Florida,33487,2700 Sheridan Court Florida 33487
25,600,Tobiah Menguy,DP Cafe,sabudana khichadi,shrimp,4,COD,106205532,tmenguyo@odnoklassniki.ru,813-638-0241,1333 Manley Place,Florida,33680,1333 Manley Place Florida 33680
26,966,Saloma Seed,Vidyarthi Bhavan,Paratha,Curried Parmesan Fish Fingers,5,COD,985038926,sseedp@hubpages.com,786-849-5962,53434 Clyde Gallagher Pass,Florida,33233,53434 Clyde Gallagher Pass Florida 33233
27,117,Ayn Scotts,Anshuman Foods,Samosa,,4,COD,712432995,ascottsq@symantec.com,941-689-5812,040 Shopko Court,Florida,34238,040 Shopko Court Florida 34238
28,26,Averell Quaife,Vidyarthi Bhavan,Roti,oysters,4,online,763844998,aquaifer@chronoengine.com,619-789-1406,89 Mendota Lane,California,92165,89 Mendota Lane California 92165
29,808,Krishna Slader,Godavari,dosa,smoked fish,1,online,352180357,ksladers@people.com.cn,717-727-2336,6 Talisman Way,Pennsylvania,17140,6 Talisman Way Pennsylvania 17140
30,930,Catherin Josipovitz,rt’s kitchen,Bhel,,1,online,622727145,cjosipovitzt@unblog.fr,319-216-8859,668 Springview Junction,Iowa,52405,668 Springview Junction Iowa 52405
31,30,Raddie Belton,Vidyarthi Bhavan,cheese burger,Mutton Korma,1,online,789315458,rbeltonu@list-manage.com,206-580-9503,50 Dennis Pass,Washington,98127,50 Dennis Pass Washington 98127
32,79,Binny Davitashvili,The Black Pearl,Paneer butter masala,smoked fish,4,online,294084816,bdavitashviliv@gizmodo.com,202-943-7114,67 Florence Circle,District of Columbia,20404,67 Florence Circle District of Columbia 20404
33,216,Dotti Broadbear,Deepanshu da Dhaba,panipuri,egg biryani,4,online,234287779,dbroadbearw@google.com.hk,808-482-5951,23 Helena Lane,Hawaii,96820,23 Helena Lane Hawaii 96820
34,25,Siward Sinnatt,Sukh Sagar,cheese burger,,1,online,234288700,ssinnattx@icio.us,804-585-0688,845 Oriole Alley,Virginia,23285,845 Oriole Alley Virginia 23285
35,565,Breena Loblie,Anshuman Foods,Paneer makhni,Grilled Chicken Escalope with Fresh Salsa,4,online,209264114,blobliey@eepurl.com,314-405-3181,77 Katie Street,Missouri,63180,77 Katie Street Missouri 63180
36,785,Willy Baddeley,Deepanshu da Dhaba,Paratha,caviar,2,online,065304709,wbaddeleyz@istockphoto.com,304-876-3390,033 Meadow Ridge Hill,West Virginia,25326,033 Meadow Ridge Hill West Virginia 25326
37,121,Timmie Taffee,Anshuman Foods,Paneer butter masala,Pina Colada Pork Ribs,1,COD,026857693,ttaffee10@diigo.com,805-779-9376,0482 Leroy Center,California,93034,0482 Leroy Center California 93034
38,111,Sonia Dymoke,Vidyarthi Bhavan,sabudana khichadi,shrimp,5,online,945922392,sdymoke11@cargocollective.com,405-344-9533,38256 Homewood Parkway,Oklahoma,73124,38256 Homewood Parkway Oklahoma 73124
39,485,Natalya Leuchars,DP Cafe,Veg biryani,smoked fish,3,online,862912764,nleuchars12@gmpg.org,512-630-6620,3 Bartelt Crossing,Texas,78715,3 Bartelt Crossing Texas 78715
40,471,Herby Oldford,Central Tiffin Room,Veg burger,,3,online,196771867,holdford13@ft.com,757-422-9351,06 Steensland Circle,Virginia,23520,06 Steensland Circle Virginia 23520
41,725,Benji McKyrrelly,The Black Pearl,Samosa,Grilled Chicken Escalope with Fresh Salsa,2,COD,653121575,bmckyrrelly14@prlog.org,325-163-4659,57 Warrior Avenue,Texas,79699,57 Warrior Avenue Texas 79699
42,79,Oralee Krauss,Blind chemistry,veg kolhapuri,,2,COD,541775757,okrauss15@hubpages.com,321-829-7268,31 Ridgeway Plaza,Florida,32909,31 Ridgeway Plaza Florida 32909
43,92,Dew McAree,rt’s kitchen,Paratha,,4,COD,010817450,dmcaree16@trellian.com,860-680-2019,0 3rd Circle,Connecticut,06105,0 3rd Circle Connecticut 06105
44,898,Nancey Patrie,Adyar Aanand Bhavan,Paneer butter masala,,2,COD,761477383,npatrie17@flickr.com,915-409-7983,38439 Karstens Terrace,Texas,88563,38439 Karstens Terrace Texas 88563
45,807,Paige Setchfield,Deepanshu da Dhaba,Paneer makhni,,1,online,667204076,psetchfield18@tumblr.com,213-706-1934,4795 Claremont Pass,California,91616,4795 Claremont Pass California 91616
46,885,Ruthy Confort,Adyar Aanand Bhavan,Paneer butter masala,egg biryani,3,online,085170850,rconfort19@loc.gov,720-974-3508,75 Center Terrace,Colorado,80241,75 Center Terrace Colorado 80241
47,381,Natassia Salisbury,AR North Indian Food Corner,Bhel,,4,COD,569547650,nsalisbury1a@gov.uk,505-865-2278,56704 Bay Park,New Mexico,87505,56704 Bay Park New Mexico 87505
48,774,Shurlock Stillman,Sukh Sagar,uttapam,caviar,1,online,831994742,sstillman1b@bloglovin.com,786-527-9118,447 Maple Center,Florida,33190,447 Maple Center Florida 33190
49,339,Wye Folbig,Central Tiffin Room,uttapam,,1,online,074594157,wfolbig1c@indiatimes.com,510-616-9134,7053 Meadow Vale Street,California,94616,7053 Meadow Vale Street California 94616
50,726,Adan Iorns,Anshuman Foods,uttapam,,2,COD,397112655,aiorns1d@yelp.com,208-984-9735,40627 Doe Crossing Junction,Idaho,83757,40627 Doe Crossing Junction Idaho 83757
51,309,Alethea Cansdell,Blind chemistry,cheese burger,,4,online,120609477,acansdell1e@time.com,917-983-7918,4187 Nancy Alley,New York,10280,4187 Nancy Alley New York 10280
52,775,Thorvald Chaplyn,Adyar Aanand Bhavan,uttapam,chicken biryani,3,online,739576641,tchaplyn1f@pcworld.com,619-411-0956,07 Corscot Hill,California,92153,07 Corscot Hill California 92153
53,344,Alvina Wiseman,Rasika,Bhel,smoked fish,3,COD,281036749,awiseman1g@yellowbook.com,218-735-1871,2025 Thierer Pass,Minnesota,55805,2025 Thierer Pass Minnesota 55805
54,568,Hilario Moorey,rt’s kitchen,cheese burger,crab,3,online,179011078,hmoorey1h@live.com,321-783-0189,57804 Farmco Avenue,Florida,32813,57804 Farmco Avenue Florida 32813
55,223,Deina Ullett,rt’s kitchen,Paneer butter masala,Mutton Korma,4,online,105541573,dullett1i@google.cn,813-710-2070,25 Vidon Hill,Florida,33705,25 Vidon Hill Florida 33705
56,105,Vilma Lorden,Central Tiffin Room,panipuri,egg biryani,2,online,155829464,vlorden1j@joomla.org,937-917-8089,83844 Anzinger Way,Ohio,45490,83844 Anzinger Way Ohio 45490
57,979,Curran Pindell,Rasika,Bhel,smoked fish,2,online,817949069,cpindell1k@pbs.org,719-819-9281,4858 Bobwhite Center,Colorado,80930,4858 Bobwhite Center Colorado 80930
58,934,Marsiella Templeton,Deepanshu da Dhaba,uttapam,,3,online,280834682,mtempleton1l@surveymonkey.com,206-764-1968,3167 Fallview Circle,Washington,98158,3167 Fallview Circle Washington 98158
59,710,Jacques Keynd,Anshuman Foods,Veg burger,Malabar Fish Biryani,5,COD,247145547,jkeynd1m@oakley.com,425-446-6125,09894 Judy Trail,Washington,98109,09894 Judy Trail Washington 98109
60,211,Cortie McCoole,Deepanshu da Dhaba,Veg biryani,shrimp,5,online,897845996,cmccoole1n@addtoany.com,859-347-8775,256 Hanover Park,Kentucky,40591,256 Hanover Park Kentucky 40591
61,480,Sharlene Yarranton,Vidyarthi Bhavan,dosa,,5,online,211630012,syarranton1o@usgs.gov,757-810-5993,900 Kenwood Alley,Virginia,23436,900 Kenwood Alley Virginia 23436
62,559,Arabel Heffer,Sukh Sagar,Roti,fish fillet,3,online,282368250,aheffer1p@timesonline.co.uk,775-412-1856,2934 Lyons Drive,Nevada,89519,2934 Lyons Drive Nevada 89519
63,712,Mortimer Pocknoll,The Black Pearl,Roti,,2,COD,540797804,mpocknoll1q@twitpic.com,412-520-0276,937 Hollow Ridge Crossing,Pennsylvania,15286,937 Hollow Ridge Crossing Pennsylvania 15286
64,452,Melodie Chaldecott,Godavari,dosa,egg biryani,2,COD,112694070,mchaldecott1r@paginegialle.it,915-107-9625,48 Iowa Parkway,Texas,79950,48 Iowa Parkway Texas 79950
65,36,Pearline Kampshell,Vidyarthi Bhavan,Bhel,,5,COD,549402363,pkampshell1s@japanpost.jp,559-506-2765,84 Tomscot Avenue,California,93750,84 Tomscot Avenue California 93750
66,382,Gasparo Wornham,Deepanshu da Dhaba,panipuri,,5,COD,687409575,gwornham1t@odnoklassniki.ru,571-548-8092,21 Russell Road,Virginia,22205,21 Russell Road Virginia 22205
67,873,Lotti Phizakarley,Adyar Aanand Bhavan,uttapam,,1,online,962953608,lphizakarley1u@cdbaby.com,928-396-2973,6 Washington Hill,Arizona,86305,6 Washington Hill Arizona 86305
68,784,Jimmy Veeler,Central Tiffin Room,Samosa,Chicken 65,4,online,269292234,jveeler1v@ibm.com,757-929-2803,8880 Cordelia Pass,Virginia,23459,8880 Cordelia Pass Virginia 23459
69,279,Salvador Duxbury,AR North Indian Food Corner,dosa,,4,COD,455923807,sduxbury1w@google.it,586-909-5328,4570 Reinke Terrace,Michigan,48224,4570 Reinke Terrace Michigan 48224
70,830,Fran McIndrew,The Black Pearl,Bhel,egg biryani,4,COD,703809190,fmcindrew1x@dagondesign.com,682-304-0102,90513 Homewood Alley,Texas,76178,90513 Homewood Alley Texas 76178
71,459,Shannon Cottle,Anshuman Foods,Nan,Mutton Korma,5,online,005459000,scottle1y@elpais.com,610-692-8799,75972 Sauthoff Pass,Pennsylvania,19151,75972 Sauthoff Pass Pennsylvania 19151
72,921,Tessie Janicek,rt’s kitchen,Paneer makhni,fish steak,4,COD,755279149,tjanicek1z@wunderground.com,608-787-3882,33909 1st Court,Wisconsin,53779,33909 1st Court Wisconsin 53779
73,739,Levy Simson,DP Cafe,Samosa,shrimp,2,COD,743822394,lsimson20@people.com.cn,203-418-1635,36201 Bunting Parkway,Connecticut,06505,36201 Bunting Parkway Connecticut 06505
74,161,Melonie Whitters,Vidyarthi Bhavan,panipuri,Keema Samosa with Yoghurt Dip,4,online,361685403,mwhitters21@yale.edu,714-155-5187,852 Cherokee Alley,California,92648,852 Cherokee Alley California 92648
75,923,Sherlock Davys,Anshuman Foods,Pulao,,1,online,815926388,sdavys22@hostgator.com,610-147-3823,5 Gateway Street,Pennsylvania,19605,5 Gateway Street Pennsylvania 19605
76,675,Bethina Westrope,Blind chemistry,Bhel,,4,COD,844417735,bwestrope23@networksolutions.com,610-680-7659,10446 Lakeland Park,Pennsylvania,19151,10446 Lakeland Park Pennsylvania 19151
77,193,Germain Kreber,Adyar Aanand Bhavan,Pulao,,3,COD,328649283,gkreber24@linkedin.com,202-375-4306,5640 Moulton Avenue,District of Columbia,20591,5640 Moulton Avenue District of Columbia 20591
78,571,Sterne D'Souza,Sukh Sagar,Samosa,caviar,2,online,190996995,sdsouza25@amazon.de,318-639-6210,63 Pawling Junction,Louisiana,71151,63 Pawling Junction Louisiana 71151
79,442,Aurelea Cribbott,Rasika,Paneer makhni,,4,COD,226223871,acribbott26@mac.com,702-780-6696,2 Paget Way,California,93111,2 Paget Way California 93111
80,932,Giusto Aleksankin,Deepanshu da Dhaba,Pulao,,3,COD,464977002,galeksankin27@amazon.de,602-370-2688,8646 Barnett Lane,Arizona,85210,8646 Barnett Lane Arizona 85210
81,74,Sim Biggans,Vidyarthi Bhavan,Veg burger,,1,online,068944496,sbiggans28@php.net,408-681-7168,0 Loomis Parkway,California,95133,0 Loomis Parkway California 95133
82,802,Juliann Mushrow,DP Cafe,Paneer butter masala,chicken biryani,3,online,248131694,jmushrow29@plala.or.jp,612-431-0383,02222 Doe Crossing Parkway,Minnesota,55123,02222 Doe Crossing Parkway Minnesota 55123
83,213,Art Endrizzi,DP Cafe,veg kolhapuri,fish fillet,5,online,658884562,aendrizzi2a@cdc.gov,719-822-7079,34 Village Alley,Colorado,80940,34 Village Alley Colorado 80940
84,612,Kellina Pyrke,Sukh Sagar,Paneer makhni,fish steak,1,online,410877532,kpyrke2b@bloglines.com,818-166-7606,41 David Hill,California,90065,41 David Hill California 90065
85,946,Ivor McKnockiter,rt’s kitchen,cheese burger,Mutton Korma,5,online,825523637,imcknockiter2c@friendfeed.com,718-655-8532,7 Acker Park,New York,10014,7 Acker Park New York 10014
86,571,Kellsie Kretchmer,Blind chemistry,sabudana khichadi,,1,COD,483720870,kkretchmer2d@smugmug.com,304-475-8954,0514 Michigan Plaza,West Virginia,25721,0514 Michigan Plaza West Virginia 25721
87,507,Ralina Philbrook,DP Cafe,Nan,,1,COD,814123840,rphilbrook2e@theglobeandmail.com,786-680-7166,745 Hooker Point,Florida,33147,745 Hooker Point Florida 33147
88,418,Rochell Heinz,AR North Indian Food Corner,Veg burger,,2,online,698083130,rheinz2f@nhs.uk,281-947-4105,085 Park Meadow Point,Texas,77035,085 Park Meadow Point Texas 77035
89,26,Lucien Marshman,AR North Indian Food Corner,cheese burger,fish fillet,4,online,257568174,lmarshman2g@engadget.com,404-705-3966,304 Summit Hill,Georgia,30336,304 Summit Hill Georgia 30336
90,587,Yalonda Labrom,rt’s kitchen,cheese burger,,1,COD,821031797,ylabrom2h@mail.ru,202-525-6250,38488 Russell Junction,District of Columbia,20566,38488 Russell Junction District of Columbia 20566
91,836,Linell Davidovitz,Adyar Aanand Bhavan,Bhel,,4,online,432010770,ldavidovitz2i@nymag.com,847-227-9848,230 Charing Cross Parkway,Illinois,60078,230 Charing Cross Parkway Illinois 60078
92,678,Papagena Salandino,AR North Indian Food Corner,Nan,,1,COD,526418612,psalandino2j@edublogs.org,518-336-3527,26 Dunning Drive,New York,12237,26 Dunning Drive New York 12237
93,817,Rosamond Hardacre,Vidyarthi Bhavan,Nan,smoked fish,3,COD,427451520,rhardacre2k@4shared.com,509-674-8661,80843 Rieder Point,Washington,98907,80843 Rieder Point Washington 98907
94,772,Andrey Stummeyer,Sukh Sagar,Paneer makhni,,5,online,149217509,astummeyer2l@gnu.org,612-991-3070,0 Gina Hill,Minnesota,55108,0 Gina Hill Minnesota 55108
95,942,Kristofor Gerrell,AR North Indian Food Corner,Paneer makhni,,1,online,464293971,kgerrell2m@posterous.com,251-415-2268,26 Lighthouse Bay Place,Alabama,36628,26 Lighthouse Bay Place Alabama 36628
96,629,Erena Blanche,Anshuman Foods,sabudana khichadi,,2,COD,023663569,eblanche2n@google.es,817-650-5229,41780 Swallow Center,Texas,76121,41780 Swallow Center Texas 76121
97,163,Appolonia Gainfort,Sukh Sagar,Samosa,,2,online,278929288,againfort2o@technorati.com,317-570-7609,0199 Ruskin Drive,Indiana,46216,0199 Ruskin Drive Indiana 46216
98,771,Cosme Baumann,Vidyarthi Bhavan,cheese burger,shrimp,4,COD,583219124,cbaumann2p@fastcompany.com,253-117-8344,70 Vernon Court,Washington,98447,70 Vernon Court Washington 98447
99,682,Sterne Kuban,Blind chemistry,Bhel,Chicken 65,3,online,800401771,skuban2q@washingtonpost.com,956-699-5339,98 Prentice Court,Texas,78044,98 Prentice Court Texas 78044
100,768,Christabel Borthram,Anshuman Foods,uttapam,,1,online,906816065,cborthram2r@economist.com,212-842-0043,985 Kenwood Avenue,New York,10160,985 Kenwood Avenue New York 10160
101,228,Carlynn Sell,Adyar Aanand Bhavan,Veg burger,Malabar Fish Biryani,2,online,347362568,csell2s@4shared.com,602-443-1564,9890 Loomis Place,Arizona,85260,9890 Loomis Place Arizona 85260
102,468,Hoyt Hallad,Sukh Sagar,cheese burger,Keema Samosa with Yoghurt Dip,5,COD,502038643,hhallad2t@google.pl,303-932-3540,80 Oakridge Alley,Colorado,80045,80 Oakridge Alley Colorado 80045
103,183,Moina Muckle,Vidyarthi Bhavan,Pulao,Chicken 65,1,online,887384639,mmuckle2u@naver.com,512-325-9442,3279 Mallory Avenue,Texas,78715,3279 Mallory Avenue Texas 78715
104,759,Madelaine Emnoney,Blind chemistry,Paneer makhni,caviar,5,COD,749554072,memnoney2v@loc.gov,510-519-4522,88 Springview Circle,California,94627,88 Springview Circle California 94627
105,444,Celinda Lafflina,Anshuman Foods,Veg burger,Chicken 65,1,online,928002304,clafflina2w@latimes.com,502-233-9449,3189 Crescent Oaks Avenue,Kentucky,41905,3189 Crescent Oaks Avenue Kentucky 41905
106,729,Sula Polfer,Godavari,sabudana khichadi,Curried Parmesan Fish Fingers,5,online,430178845,spolfer2x@youtube.com,501-424-6947,02 Center Trail,Arkansas,72199,02 Center Trail Arkansas 72199
107,831,Fayina Kobpal,Central Tiffin Room,sabudana khichadi,,3,online,925353180,fkobpal2y@buzzfeed.com,915-212-2825,4 Troy Center,Texas,88553,4 Troy Center Texas 88553
108,569,Isabelle Stredwick,Vidyarthi Bhavan,Paneer butter masala,caviar,1,online,725637364,istredwick2z@barnesandnoble.com,617-918-9440,9 Hauk Center,Massachusetts,02119,9 Hauk Center Massachusetts 02119
109,845,Averil Korn,AR North Indian Food Corner,Veg burger,Chicken 65,5,online,834513714,akorn30@about.com,330-924-2602,53430 Ludington Pass,Ohio,44511,53430 Ludington Pass Ohio 44511
110,884,Cecilia Witherow,The Black Pearl,uttapam,,4,online,900338521,cwitherow31@cbsnews.com,702-909-3489,055 Bashford Circle,Nevada,89155,055 Bashford Circle Nevada 89155
111,213,Dwain Beasleigh,Adyar Aanand Bhavan,Veg biryani,Grilled Chicken Escalope with Fresh Salsa,1,online,037352748,dbeasleigh32@tinypic.com,970-229-5296,3 Reindahl Drive,Colorado,81505,3 Reindahl Drive Colorado 81505
112,99,Audie Danet,AR North Indian Food Corner,Paneer butter masala,,1,COD,143464930,adanet33@stumbleupon.com,765-106-4214,476 Spenser Crossing,Indiana,46202,476 Spenser Crossing Indiana 46202
113,673,Gerri Eddisforth,Sukh Sagar,panipuri,oysters,2,COD,218811053,geddisforth34@miibeian.gov.cn,260-272-3276,567 Sachtjen Crossing,Indiana,46862,567 Sachtjen Crossing Indiana 46862
114,436,Katinka Whitfeld,DP Cafe,Paneer makhni,,2,online,646196089,kwhitfeld35@ucoz.com,361-946-6959,2806 Dryden Junction,Texas,78744,2806 Dryden Junction Texas 78744
115,842,Hillary Pressland,Godavari,veg kolhapuri,,2,COD,124254050,hpressland36@java.com,818-952-8080,7 Sugar Way,California,90035,7 Sugar Way California 90035
116,441,Melosa Elks,DP Cafe,Bhel,,5,COD,037030281,melks37@ucoz.com,615-514-6773,834 Welch Lane,Tennessee,37131,834 Welch Lane Tennessee 37131
117,755,Romonda MacCumiskey,Rasika,Pulao,Mutton Korma,5,online,451179388,rmaccumiskey38@hibu.com,570-191-5476,70 Village Lane,Pennsylvania,18706,70 Village Lane Pennsylvania 18706
118,877,Merrile Padfield,The Black Pearl,Paratha,chicken leg piece,5,online,130410107,mpadfield39@cyberchimps.com,202-500-4247,652 Old Gate Court,District of Columbia,20215,652 Old Gate Court District of Columbia 20215
119,525,Nataniel Squire,Central Tiffin Room,Nan,Chicken 65,1,online,303858036,nsquire3a@canalblog.com,719-490-7945,825 Haas Terrace,Colorado,80995,825 Haas Terrace Colorado 80995
120,949,Sanderson Kleszinski,Deepanshu da Dhaba,Pulao,,4,COD,797321778,skleszinski3b@furl.net,786-925-8447,66872 Monterey Place,Florida,33124,66872 Monterey Place Florida 33124
121,990,Helene MacWilliam,Vidyarthi Bhavan,Paratha,,4,COD,206257978,hmacwilliam3c@geocities.jp,321-169-2275,96231 Talmadge Park,Florida,32835,96231 Talmadge Park Florida 32835
122,438,Clayson Ruller,The Black Pearl,panipuri,,2,online,776512763,cruller3d@xrea.com,504-807-6294,2237 Roth Avenue,Louisiana,70187,2237 Roth Avenue Louisiana 70187
123,307,Franciska Lebond,Adyar Aanand Bhavan,Samosa,,5,online,320565869,flebond3e@blog.com,318-657-8273,35 Laurel Park,Louisiana,71105,35 Laurel Park Louisiana 71105
124,446,Tan Filmer,AR North Indian Food Corner,Veg burger,Grilled Chicken Escalope with Fresh Salsa,2,COD,454842404,tfilmer3f@about.me,713-461-7684,6 New Castle Circle,Texas,77250,6 New Castle Circle Texas 77250
125,195,Korey Dillingham,DP Cafe,veg kolhapuri,,4,online,508869749,kdillingham3g@instagram.com,864-308-7893,83105 Steensland Way,South Carolina,29305,83105 Steensland Way South Carolina 29305
126,718,Lexi Durbin,Adyar Aanand Bhavan,uttapam,,2,COD,853313649,ldurbin3h@theguardian.com,210-171-1497,563 Lighthouse Bay Parkway,Texas,78250,563 Lighthouse Bay Parkway Texas 78250
127,425,Nicolai Bedward,Sukh Sagar,Veg biryani,egg biryani,4,online,096858679,nbedward3i@ibm.com,423-643-7048,52954 Merrick Court,Tennessee,37450,52954 Merrick Court Tennessee 37450
128,590,Gladys Strettell,rt’s kitchen,cheese burger,egg biryani,2,online,875225021,gstrettell3j@discovery.com,347-232-2906,734 Alpine Way,New York,10469,734 Alpine Way New York 10469
129,247,Claire Linskill,Deepanshu da Dhaba,Bhel,Keema Samosa with Yoghurt Dip,5,online,923280929,clinskill3k@mapy.cz,414-448-3965,22068 Dexter Center,Wisconsin,53277,22068 Dexter Center Wisconsin 53277
130,604,Cynthea Chat,Central Tiffin Room,sabudana khichadi,oysters,5,online,587214208,cchat3l@meetup.com,703-527-8084,6 Oakridge Hill,Virginia,22301,6 Oakridge Hill Virginia 22301
131,539,Brantley Wildey,DP Cafe,cheese burger,,4,online,388993258,bwildey3m@bandcamp.com,212-809-0214,9 Elka Alley,New York,10165,9 Elka Alley New York 10165
132,929,Adi Olley,Blind chemistry,Nan,,2,COD,981233490,aolley3n@printfriendly.com,813-463-2139,68 Mosinee Terrace,Florida,33694,68 Mosinee Terrace Florida 33694
133,930,Winny Paniman,DP Cafe,sabudana khichadi,,3,online,638009624,wpaniman3o@businessweek.com,907-763-9534,3 Birchwood Pass,Alaska,99709,3 Birchwood Pass Alaska 99709
134,48,Gloria Blackborow,Sukh Sagar,Veg burger,,2,COD,306424600,gblackborow3p@booking.com,610-756-6456,236 Cascade Parkway,Pennsylvania,19610,236 Cascade Parkway Pennsylvania 19610
135,514,Zaria Hammarberg,Vidyarthi Bhavan,Samosa,,5,online,571642747,zhammarberg3q@usda.gov,505-425-6299,30 Mesta Terrace,New Mexico,87201,30 Mesta Terrace New Mexico 87201
136,270,Stephana Blabber,Blind chemistry,Paratha,,4,COD,387033514,sblabber3r@latimes.com,513-335-0619,0258 Kipling Park,Ohio,45999,0258 Kipling Park Ohio 45999
137,907,Darbee De la croix,AR North Indian Food Corner,sabudana khichadi,egg biryani,1,COD,658813434,dde3s@squarespace.com,208-304-0799,0 Havey Park,Idaho,83705,0 Havey Park Idaho 83705
138,813,Ediva Filyaev,Rasika,Samosa,,1,online,924219089,efilyaev3t@list-manage.com,318-114-3071,859 Mallory Junction,Louisiana,71208,859 Mallory Junction Louisiana 71208
139,402,Rita Fearn,Godavari,Veg biryani,chicken leg piece,3,COD,524132949,rfearn3u@comsenz.com,716-545-8268,31 Donald Plaza,New York,14220,31 Donald Plaza New York 14220
